Date,Production/Deliveries/Stocks,Concrete Block Type,Thousand square metres,Building Material Type,Geographical Region,Unique_Key
01/08/2019,Seasonally Adjusted Deliveries,All Types,5542.98285207277,Concrete Products,Great Britain,01/08/2019Seasonally Adjusted DeliveriesAll Types5542.98285207277Concrete ProductsGreat Britain
01/08/2019,Production,All Types,5689.434,Concrete Products,Great Britain,01/08/2019ProductionAll Types5689.434Concrete ProductsGreat Britain
01/08/2019,Deliveries(from),All Types,5845.116,Concrete Products,Great Britain,01/08/2019Deliveries(from)All Types5845.116Concrete ProductsGreat Britain
01/08/2019,Stocks,All Types,7182.661,Concrete Products,Great Britain,01/08/2019StocksAll Types7182.661Concrete ProductsGreat Britain
01/08/2019,Production,Dense,2017.334,Concrete Products,Great Britain,01/08/2019ProductionDense2017.334Concrete ProductsGreat Britain
01/08/2019,Deliveries(from),Dense,2064.36,Concrete Products,Great Britain,01/08/2019Deliveries(from)Dense2064.36Concrete ProductsGreat Britain
01/08/2019,Stocks,Dense,2694.007,Concrete Products,Great Britain,01/08/2019StocksDense2694.007Concrete ProductsGreat Britain
01/08/2019,Production,Lightweight,1757.99,Concrete Products,Great Britain,01/08/2019ProductionLightweight1757.99Concrete ProductsGreat Britain
01/08/2019,Deliveries(from),Lightweight,1781.206,Concrete Products,Great Britain,01/08/2019Deliveries(from)Lightweight1781.206Concrete ProductsGreat Britain
01/08/2019,Stocks,Lightweight,2262.544,Concrete Products,Great Britain,01/08/2019StocksLightweight2262.544Concrete ProductsGreat Britain
01/08/2019,Production,Aerated,1914.11,Concrete Products,Great Britain,01/08/2019ProductionAerated1914.11Concrete ProductsGreat Britain
01/08/2019,Deliveries(from),Aerated,1999.55,Concrete Products,Great Britain,01/08/2019Deliveries(from)Aerated1999.55Concrete ProductsGreat Britain
01/08/2019,Stocks,Aerated,2226.11,Concrete Products,Great Britain,01/08/2019StocksAerated2226.11Concrete ProductsGreat Britain
01/09/2019,Seasonally Adjusted Deliveries,All Types,5806.94585284332,Concrete Products,Great Britain,01/09/2019Seasonally Adjusted DeliveriesAll Types5806.94585284332Concrete ProductsGreat Britain
01/09/2019,Production,All Types,6326.721,Concrete Products,Great Britain,01/09/2019ProductionAll Types6326.721Concrete ProductsGreat Britain
01/09/2019,Deliveries(from),All Types,6217.603,Concrete Products,Great Britain,01/09/2019Deliveries(from)All Types6217.603Concrete ProductsGreat Britain
01/09/2019,Stocks,All Types,7198.638,Concrete Products,Great Britain,01/09/2019StocksAll Types7198.638Concrete ProductsGreat Britain
01/09/2019,Production,Dense,2113.577,Concrete Products,Great Britain,01/09/2019ProductionDense2113.577Concrete ProductsGreat Britain
01/09/2019,Deliveries(from),Dense,2133.865,Concrete Products,Great Britain,01/09/2019Deliveries(from)Dense2133.865Concrete ProductsGreat Britain
01/09/2019,Stocks,Dense,2672.901,Concrete Products,Great Britain,01/09/2019StocksDense2672.901Concrete ProductsGreat Britain
01/09/2019,Production,Lightweight,1857.604,Concrete Products,Great Britain,01/09/2019ProductionLightweight1857.604Concrete ProductsGreat Britain
01/09/2019,Deliveries(from),Lightweight,1783.618,Concrete Products,Great Britain,01/09/2019Deliveries(from)Lightweight1783.618Concrete ProductsGreat Britain
01/09/2019,Stocks,Lightweight,2244.207,Concrete Products,Great Britain,01/09/2019StocksLightweight2244.207Concrete ProductsGreat Britain
01/09/2019,Production,Aerated,2355.54,Concrete Products,Great Britain,01/09/2019ProductionAerated2355.54Concrete ProductsGreat Britain
01/09/2019,Deliveries(from),Aerated,2300.12,Concrete Products,Great Britain,01/09/2019Deliveries(from)Aerated2300.12Concrete ProductsGreat Britain
01/09/2019,Stocks,Aerated,2281.53,Concrete Products,Great Britain,01/09/2019StocksAerated2281.53Concrete ProductsGreat Britain
01/10/2019,Seasonally Adjusted Deliveries,All Types,5567.43159351599,Concrete Products,Great Britain,01/10/2019Seasonally Adjusted DeliveriesAll Types5567.43159351599Concrete ProductsGreat Britain
01/10/2019,Production,All Types,6837.21,Concrete Products,Great Britain,01/10/2019ProductionAll Types6837.21Concrete ProductsGreat Britain
01/10/2019,Deliveries(from),All Types,6303.615,Concrete Products,Great Britain,01/10/2019Deliveries(from)All Types6303.615Concrete ProductsGreat Britain
01/10/2019,Stocks,All Types,7738.531,Concrete Products,Great Britain,01/10/2019StocksAll Types7738.531Concrete ProductsGreat Britain
01/10/2019,Production,Dense,2298.654,Concrete Products,Great Britain,01/10/2019ProductionDense2298.654Concrete ProductsGreat Britain
01/10/2019,Deliveries(from),Dense,2148.076,Concrete Products,Great Britain,01/10/2019Deliveries(from)Dense2148.076Concrete ProductsGreat Britain
01/10/2019,Stocks,Dense,2830.219,Concrete Products,Great Britain,01/10/2019StocksDense2830.219Concrete ProductsGreat Britain
01/10/2019,Production,Lightweight,1869.216,Concrete Products,Great Britain,01/10/2019ProductionLightweight1869.216Concrete ProductsGreat Britain
01/10/2019,Deliveries(from),Lightweight,1804.339,Concrete Products,Great Britain,01/10/2019Deliveries(from)Lightweight1804.339Concrete ProductsGreat Britain
01/10/2019,Stocks,Lightweight,2308.642,Concrete Products,Great Britain,01/10/2019StocksLightweight2308.642Concrete ProductsGreat Britain
