Date,Geographical Region,Building Material Type,Other Building Material Type,Production/Deliveries/Stocks,Th.sq.m. of roof area covered,Unique_Key
01/4/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4235.899,01/4/2012Great BritainOther Building MaterialsConcrete Roofing TilesProduction4235.899
01/4/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,4099.52,01/4/2012Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries4099.52
01/4/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4008.024,01/4/2012Great BritainOther Building MaterialsConcrete Roofing TilesStocks4008.024
01/7/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4095.217,01/7/2012Great BritainOther Building MaterialsConcrete Roofing TilesProduction4095.217
01/7/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5004.166,01/7/2012Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5004.166
01/7/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3136.466,01/7/2012Great BritainOther Building MaterialsConcrete Roofing TilesStocks3136.466
01/10/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4471.265,01/10/2012Great BritainOther Building MaterialsConcrete Roofing TilesProduction4471.265
01/10/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,4546.735,01/10/2012Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries4546.735
01/10/2012,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3060.996,01/10/2012Great BritainOther Building MaterialsConcrete Roofing TilesStocks3060.996
01/1/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4514.385,01/1/2013Great BritainOther Building MaterialsConcrete Roofing TilesProduction4514.385
01/1/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,4055.18,01/1/2013Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries4055.18
01/1/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3520.201,01/1/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks3520.201
01/4/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4208.966,01/4/2013Great BritainOther Building MaterialsConcrete Roofing TilesProduction4208.966
01/4/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,4597.731,01/4/2013Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries4597.731
01/4/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3131.436,01/4/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks3131.436
01/7/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,4550.463,01/7/2013Great BritainOther Building MaterialsConcrete Roofing TilesProduction4550.463
01/7/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5467.966,01/7/2013Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5467.966
01/7/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2213.933,01/7/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks2213.933
01/10/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5470.75,01/10/2013Great BritainOther Building MaterialsConcrete Roofing TilesProduction5470.75
01/10/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5459.412,01/10/2013Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5459.412
01/10/2013,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2214.339,01/10/2013Great BritainOther Building MaterialsConcrete Roofing TilesStocks2214.339
01/1/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6150.771,01/1/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction6150.771
01/1/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5413.645,01/1/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5413.645
01/1/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2931.758,01/1/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks2931.758
01/4/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6194.998,01/4/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction6194.998
01/4/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5491.496,01/4/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5491.496
01/4/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3687.197,01/4/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks3687.197
01/7/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5815.308,01/7/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction5815.308
01/7/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6237.918,01/7/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6237.918
01/7/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3260.905,01/7/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks3260.905
01/10/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5925.074,01/10/2014Great BritainOther Building MaterialsConcrete Roofing TilesProduction5925.074
01/10/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5914.981,01/10/2014Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5914.981
01/10/2014,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3274.68,01/10/2014Great BritainOther Building MaterialsConcrete Roofing TilesStocks3274.68
01/1/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6547.313,01/1/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction6547.313
01/1/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5399.887,01/1/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5399.887
01/1/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4422.106,01/1/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks4422.106
01/4/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6296.391,01/4/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction6296.391
01/4/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5843.296,01/4/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5843.296
01/4/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4875.201,01/4/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks4875.201
01/7/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5696.54,01/7/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction5696.54
01/7/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6419.925,01/7/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6419.925
01/7/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4151.816,01/7/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks4151.816
01/10/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6564.897,01/10/2015Great BritainOther Building MaterialsConcrete Roofing TilesProduction6564.897
01/10/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6812.32,01/10/2015Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6812.32
01/10/2015,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3904.393,01/10/2015Great BritainOther Building MaterialsConcrete Roofing TilesStocks3904.393
01/1/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6323.44,01/1/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction6323.44
01/1/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,5836.536,01/1/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries5836.536
01/1/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4391.296,01/1/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks4391.296
01/4/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6082.018,01/4/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction6082.018
01/4/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6291.621,01/4/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6291.621
01/4/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,4184.694,01/4/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks4184.694
01/7/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,5857.045,01/7/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction5857.045
01/7/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6912.414,01/7/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6912.414
01/7/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,3129.325,01/7/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks3129.325
01/10/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6352.22,01/10/2016Great BritainOther Building MaterialsConcrete Roofing TilesProduction6352.22
01/10/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6792.152,01/10/2016Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6792.152
01/10/2016,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2689.393,01/10/2016Great BritainOther Building MaterialsConcrete Roofing TilesStocks2689.393
01/1/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,7050.329,01/1/2017Great BritainOther Building MaterialsConcrete Roofing TilesProduction7050.329
01/1/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6771.708,01/1/2017Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6771.708
01/1/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2967.948,01/1/2017Great BritainOther Building MaterialsConcrete Roofing TilesStocks2967.948
01/4/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Production,6753.629,01/4/2017Great BritainOther Building MaterialsConcrete Roofing TilesProduction6753.629
01/4/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Deliveries,6862.075,01/4/2017Great BritainOther Building MaterialsConcrete Roofing TilesDeliveries6862.075
01/4/2017,Great Britain,Other Building Materials,Concrete Roofing Tiles,Stocks,2859.502,01/4/2017Great BritainOther Building MaterialsConcrete Roofing TilesStocks2859.502
