Date,Building Materials & Components Type," Materials & Components Sub-Type",Imports/Exports,Current Prices (Â£'000),Geographical Region,Type,Unique_Key
01/01/2015," Raw Materials",Sand for construction,Imports,13281,United Kingdom,External Trade,01/01/2015Raw MaterialsSand for constructionImports13281United KingdomExternal Trade
01/01/2016," Raw Materials",Sand for construction,Imports,15437,United Kingdom,External Trade,01/01/2016Raw MaterialsSand for constructionImports15437United KingdomExternal Trade
01/01/2017," Raw Materials",Sand for construction,Imports,13603,United Kingdom,External Trade,01/01/2017Raw MaterialsSand for constructionImports13603United KingdomExternal Trade
01/01/2018," Raw Materials",Sand for construction,Imports,15559,United Kingdom,External Trade,01/01/2018Raw MaterialsSand for constructionImports15559United KingdomExternal Trade
01/01/2019," Raw Materials",Sand for construction,Imports,15346,United Kingdom,External Trade,01/01/2019Raw MaterialsSand for constructionImports15346United KingdomExternal Trade
01/01/2020," Raw Materials",Sand for construction,Imports,13087,United Kingdom,External Trade,01/01/2020Raw MaterialsSand for constructionImports13087United KingdomExternal Trade
01/01/2015," Raw Materials",Sand for construction,Exports,8629,United Kingdom,External Trade,01/01/2015Raw MaterialsSand for constructionExports8629United KingdomExternal Trade
01/01/2016," Raw Materials",Sand for construction,Exports,11342,United Kingdom,External Trade,01/01/2016Raw MaterialsSand for constructionExports11342United KingdomExternal Trade
01/01/2017," Raw Materials",Sand for construction,Exports,7767,United Kingdom,External Trade,01/01/2017Raw MaterialsSand for constructionExports7767United KingdomExternal Trade
01/01/2018," Raw Materials",Sand for construction,Exports,9248,United Kingdom,External Trade,01/01/2018Raw MaterialsSand for constructionExports9248United KingdomExternal Trade
01/01/2019," Raw Materials",Sand for construction,Exports,13748,United Kingdom,External Trade,01/01/2019Raw MaterialsSand for constructionExports13748United KingdomExternal Trade
01/01/2020," Raw Materials",Sand for construction,Exports,7305,United Kingdom,External Trade,01/01/2020Raw MaterialsSand for constructionExports7305United KingdomExternal Trade
01/01/2015," Raw Materials",Crushed Rock : uncoated,Imports,25110,United Kingdom,External Trade,01/01/2015Raw MaterialsCrushed Rock : uncoatedImports25110United KingdomExternal Trade
01/01/2016," Raw Materials",Crushed Rock : uncoated,Imports,34361,United Kingdom,External Trade,01/01/2016Raw MaterialsCrushed Rock : uncoatedImports34361United KingdomExternal Trade
01/01/2017," Raw Materials",Crushed Rock : uncoated,Imports,35912,United Kingdom,External Trade,01/01/2017Raw MaterialsCrushed Rock : uncoatedImports35912United KingdomExternal Trade
01/01/2018," Raw Materials",Crushed Rock : uncoated,Imports,30735,United Kingdom,External Trade,01/01/2018Raw MaterialsCrushed Rock : uncoatedImports30735United KingdomExternal Trade
01/01/2019," Raw Materials",Crushed Rock : uncoated,Imports,32078,United Kingdom,External Trade,01/01/2019Raw MaterialsCrushed Rock : uncoatedImports32078United KingdomExternal Trade
01/01/2020," Raw Materials",Crushed Rock : uncoated,Imports,28005,United Kingdom,External Trade,01/01/2020Raw MaterialsCrushed Rock : uncoatedImports28005United KingdomExternal Trade
01/01/2015," Raw Materials",Crushed Rock : uncoated,Exports,47093,United Kingdom,External Trade,01/01/2015Raw MaterialsCrushed Rock : uncoatedExports47093United KingdomExternal Trade
01/01/2016," Raw Materials",Crushed Rock : uncoated,Exports,50281,United Kingdom,External Trade,01/01/2016Raw MaterialsCrushed Rock : uncoatedExports50281United KingdomExternal Trade
01/01/2017," Raw Materials",Crushed Rock : uncoated,Exports,57082,United Kingdom,External Trade,01/01/2017Raw MaterialsCrushed Rock : uncoatedExports57082United KingdomExternal Trade
01/01/2018," Raw Materials",Crushed Rock : uncoated,Exports,61076,United Kingdom,External Trade,01/01/2018Raw MaterialsCrushed Rock : uncoatedExports61076United KingdomExternal Trade
01/01/2019," Raw Materials",Crushed Rock : uncoated,Exports,64402,United Kingdom,External Trade,01/01/2019Raw MaterialsCrushed Rock : uncoatedExports64402United KingdomExternal Trade
01/01/2020," Raw Materials",Crushed Rock : uncoated,Exports,60288,United Kingdom,External Trade,01/01/2020Raw MaterialsCrushed Rock : uncoatedExports60288United KingdomExternal Trade
01/01/2015," Raw Materials",Crushed Rock : coated,Imports,9,United Kingdom,External Trade,01/01/2015Raw MaterialsCrushed Rock : coatedImports9United KingdomExternal Trade
01/01/2016," Raw Materials",Crushed Rock : coated,Imports,2,United Kingdom,External Trade,01/01/2016Raw MaterialsCrushed Rock : coatedImports2United KingdomExternal Trade
01/01/2017," Raw Materials",Crushed Rock : coated,Imports,12,United Kingdom,External Trade,01/01/2017Raw MaterialsCrushed Rock : coatedImports12United KingdomExternal Trade
01/01/2018," Raw Materials",Crushed Rock : coated,Imports,105,United Kingdom,External Trade,01/01/2018Raw MaterialsCrushed Rock : coatedImports105United KingdomExternal Trade
01/01/2019," Raw Materials",Crushed Rock : coated,Imports,89,United Kingdom,External Trade,01/01/2019Raw MaterialsCrushed Rock : coatedImports89United KingdomExternal Trade
