Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Raw Materials",Sand for construction,Imports,2015,13281,01/01/2015,United Kingdom,External Trade,Raw MaterialsSand for constructionImports20151328101/01/2015United Kingdom
" Raw Materials",Sand for construction,Imports,2016,15437,01/01/2016,United Kingdom,External Trade,Raw MaterialsSand for constructionImports20161543701/01/2016United Kingdom
" Raw Materials",Sand for construction,Imports,2017,13603,01/01/2017,United Kingdom,External Trade,Raw MaterialsSand for constructionImports20171360301/01/2017United Kingdom
" Raw Materials",Sand for construction,Imports,2018,15559,01/01/2018,United Kingdom,External Trade,Raw MaterialsSand for constructionImports20181555901/01/2018United Kingdom
" Raw Materials",Sand for construction,Imports,2019,15346,01/01/2019,United Kingdom,External Trade,Raw MaterialsSand for constructionImports20191534601/01/2019United Kingdom
" Raw Materials",Sand for construction,Imports,2020,13087,01/01/2020,United Kingdom,External Trade,Raw MaterialsSand for constructionImports20201308701/01/2020United Kingdom
" Raw Materials",Sand for construction,Exports,2015,8629,01/01/2015,United Kingdom,External Trade,Raw MaterialsSand for constructionExports2015862901/01/2015United Kingdom
" Raw Materials",Sand for construction,Exports,2016,11342,01/01/2016,United Kingdom,External Trade,Raw MaterialsSand for constructionExports20161134201/01/2016United Kingdom
" Raw Materials",Sand for construction,Exports,2017,7767,01/01/2017,United Kingdom,External Trade,Raw MaterialsSand for constructionExports2017776701/01/2017United Kingdom
" Raw Materials",Sand for construction,Exports,2018,9248,01/01/2018,United Kingdom,External Trade,Raw MaterialsSand for constructionExports2018924801/01/2018United Kingdom
" Raw Materials",Sand for construction,Exports,2019,13748,01/01/2019,United Kingdom,External Trade,Raw MaterialsSand for constructionExports20191374801/01/2019United Kingdom
" Raw Materials",Sand for construction,Exports,2020,7305,01/01/2020,United Kingdom,External Trade,Raw MaterialsSand for constructionExports2020730501/01/2020United Kingdom
" Raw Materials",Crushed Rock : uncoated,Imports,2015,25110,01/01/2015,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedImports20152511001/01/2015United Kingdom
" Raw Materials",Crushed Rock : uncoated,Imports,2016,34361,01/01/2016,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedImports20163436101/01/2016United Kingdom
" Raw Materials",Crushed Rock : uncoated,Imports,2017,35912,01/01/2017,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedImports20173591201/01/2017United Kingdom
" Raw Materials",Crushed Rock : uncoated,Imports,2018,30735,01/01/2018,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedImports20183073501/01/2018United Kingdom
" Raw Materials",Crushed Rock : uncoated,Imports,2019,32078,01/01/2019,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedImports20193207801/01/2019United Kingdom
" Raw Materials",Crushed Rock : uncoated,Imports,2020,28005,01/01/2020,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedImports20202800501/01/2020United Kingdom
" Raw Materials",Crushed Rock : uncoated,Exports,2015,47093,01/01/2015,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedExports20154709301/01/2015United Kingdom
" Raw Materials",Crushed Rock : uncoated,Exports,2016,50281,01/01/2016,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedExports20165028101/01/2016United Kingdom
" Raw Materials",Crushed Rock : uncoated,Exports,2017,57082,01/01/2017,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedExports20175708201/01/2017United Kingdom
" Raw Materials",Crushed Rock : uncoated,Exports,2018,61076,01/01/2018,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedExports20186107601/01/2018United Kingdom
" Raw Materials",Crushed Rock : uncoated,Exports,2019,64402,01/01/2019,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedExports20196440201/01/2019United Kingdom
" Raw Materials",Crushed Rock : uncoated,Exports,2020,60288,01/01/2020,United Kingdom,External Trade,Raw MaterialsCrushed Rock : uncoatedExports20206028801/01/2020United Kingdom
" Raw Materials",Crushed Rock : coated,Imports,2015,9,01/01/2015,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedImports2015901/01/2015United Kingdom
" Raw Materials",Crushed Rock : coated,Imports,2016,2,01/01/2016,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedImports2016201/01/2016United Kingdom
" Raw Materials",Crushed Rock : coated,Imports,2017,12,01/01/2017,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedImports20171201/01/2017United Kingdom
" Raw Materials",Crushed Rock : coated,Imports,2018,105,01/01/2018,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedImports201810501/01/2018United Kingdom
" Raw Materials",Crushed Rock : coated,Imports,2019,89,01/01/2019,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedImports20198901/01/2019United Kingdom
" Raw Materials",Crushed Rock : coated,Imports,2020,1005,01/01/2020,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedImports2020100501/01/2020United Kingdom
" Raw Materials",Crushed Rock : coated,Exports,2015,2977,01/01/2015,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedExports2015297701/01/2015United Kingdom
" Raw Materials",Crushed Rock : coated,Exports,2016,4451,01/01/2016,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedExports2016445101/01/2016United Kingdom
" Raw Materials",Crushed Rock : coated,Exports,2017,4919,01/01/2017,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedExports2017491901/01/2017United Kingdom
" Raw Materials",Crushed Rock : coated,Exports,2018,6150,01/01/2018,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedExports2018615001/01/2018United Kingdom
" Raw Materials",Crushed Rock : coated,Exports,2019,4539,01/01/2019,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedExports2019453901/01/2019United Kingdom
" Raw Materials",Crushed Rock : coated,Exports,2020,7123,01/01/2020,United Kingdom,External Trade,Raw MaterialsCrushed Rock : coatedExports2020712301/01/2020United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2015,149903,01/01/2015,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201514990301/01/2015United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2016,151816,01/01/2016,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201615181601/01/2016United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2017,176711,01/01/2017,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201717671101/01/2017United Kingdom
" Raw Materials",Building Stone : unprocessed,Imports,2018,180697,01/01/2018,United Kingdom,External Trade,Raw MaterialsBuilding Stone : unprocessedImports201818069701/01/2018United Kingdom
