Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2015," Raw Materials",Sand for construction,Imports,13281,United Kingdom,External Trade
01/01/2016," Raw Materials",Sand for construction,Imports,15437,United Kingdom,External Trade
01/01/2017," Raw Materials",Sand for construction,Imports,13603,United Kingdom,External Trade
01/01/2018," Raw Materials",Sand for construction,Imports,15559,United Kingdom,External Trade
01/01/2019," Raw Materials",Sand for construction,Imports,15346,United Kingdom,External Trade
01/01/2020," Raw Materials",Sand for construction,Imports,13087,United Kingdom,External Trade
01/01/2015," Raw Materials",Sand for construction,Exports,8629,United Kingdom,External Trade
01/01/2016," Raw Materials",Sand for construction,Exports,11342,United Kingdom,External Trade
01/01/2017," Raw Materials",Sand for construction,Exports,7767,United Kingdom,External Trade
01/01/2018," Raw Materials",Sand for construction,Exports,9248,United Kingdom,External Trade
01/01/2019," Raw Materials",Sand for construction,Exports,13748,United Kingdom,External Trade
01/01/2020," Raw Materials",Sand for construction,Exports,7305,United Kingdom,External Trade
01/01/2015," Raw Materials",Crushed Rock : uncoated,Imports,25110,United Kingdom,External Trade
01/01/2016," Raw Materials",Crushed Rock : uncoated,Imports,34361,United Kingdom,External Trade
01/01/2017," Raw Materials",Crushed Rock : uncoated,Imports,35912,United Kingdom,External Trade
01/01/2018," Raw Materials",Crushed Rock : uncoated,Imports,30735,United Kingdom,External Trade
01/01/2019," Raw Materials",Crushed Rock : uncoated,Imports,32078,United Kingdom,External Trade
01/01/2020," Raw Materials",Crushed Rock : uncoated,Imports,28005,United Kingdom,External Trade
01/01/2015," Raw Materials",Crushed Rock : uncoated,Exports,47093,United Kingdom,External Trade
01/01/2016," Raw Materials",Crushed Rock : uncoated,Exports,50281,United Kingdom,External Trade
01/01/2017," Raw Materials",Crushed Rock : uncoated,Exports,57082,United Kingdom,External Trade
01/01/2018," Raw Materials",Crushed Rock : uncoated,Exports,61076,United Kingdom,External Trade
01/01/2019," Raw Materials",Crushed Rock : uncoated,Exports,64402,United Kingdom,External Trade
01/01/2020," Raw Materials",Crushed Rock : uncoated,Exports,60288,United Kingdom,External Trade
01/01/2015," Raw Materials",Crushed Rock : coated,Imports,9,United Kingdom,External Trade
