Date,Geographical Region,Sector,Header,Sales (Thousand tonnes),Unique_Key
1/4/2015,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13770.8355,1/4/2015Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13770.8355
1/4/2015,Great Britain,Mining and Quarrying,Sand for Building,1626,1/4/2015Great BritainMining and QuarryingSand for Building1626
1/4/2015,Great Britain,Mining and Quarrying,Sand for Concreting,5539,1/4/2015Great BritainMining and QuarryingSand for Concreting5539
1/4/2015,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,5170,1/4/2015Great BritainMining and QuarryingGravel for Concreting & other uses5170
1/4/2015,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,413,1/4/2015Great BritainMining and QuarryingSand & Gravel for Coating413
1/4/2015,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1617,"1/4/2015Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1617"
1/4/2015,Great Britain,Mining and Quarrying,Sand & Gravel (Total),14364,1/4/2015Great BritainMining and QuarryingSand & Gravel (Total)14364
1/4/2015,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3150,1/4/2015Great BritainMining and QuarryingSand & Gravel Marine-Dredged3150
1/7/2015,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),12512.92728,1/7/2015Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)12512.92728
1/7/2015,Great Britain,Mining and Quarrying,Sand for Building,1465,1/7/2015Great BritainMining and QuarryingSand for Building1465
1/7/2015,Great Britain,Mining and Quarrying,Sand for Concreting,5140,1/7/2015Great BritainMining and QuarryingSand for Concreting5140
1/7/2015,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4841,1/7/2015Great BritainMining and QuarryingGravel for Concreting & other uses4841
1/7/2015,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,386,1/7/2015Great BritainMining and QuarryingSand & Gravel for Coating386
1/7/2015,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1464,"1/7/2015Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1464"
1/7/2015,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13297,1/7/2015Great BritainMining and QuarryingSand & Gravel (Total)13297
1/7/2015,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,3003,1/7/2015Great BritainMining and QuarryingSand & Gravel Marine-Dredged3003
1/10/2015,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),13168.14729,1/10/2015Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)13168.14729
1/10/2015,Great Britain,Mining and Quarrying,Sand for Building,1371,1/10/2015Great BritainMining and QuarryingSand for Building1371
1/10/2015,Great Britain,Mining and Quarrying,Sand for Concreting,5128,1/10/2015Great BritainMining and QuarryingSand for Concreting5128
1/10/2015,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4661,1/10/2015Great BritainMining and QuarryingGravel for Concreting & other uses4661
1/10/2015,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,330,1/10/2015Great BritainMining and QuarryingSand & Gravel for Coating330
1/10/2015,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",971,"1/10/2015Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill971"
1/10/2015,Great Britain,Mining and Quarrying,Sand & Gravel (Total),12461,1/10/2015Great BritainMining and QuarryingSand & Gravel (Total)12461
1/10/2015,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2679,1/10/2015Great BritainMining and QuarryingSand & Gravel Marine-Dredged2679
1/1/2016,Great Britain,Mining and Quarrying,Seasonally Adjusted Sand & Gravel (Total),14494.67193,1/1/2016Great BritainMining and QuarryingSeasonally Adjusted Sand & Gravel (Total)14494.67193
1/1/2016,Great Britain,Mining and Quarrying,Sand for Building,1406,1/1/2016Great BritainMining and QuarryingSand for Building1406
1/1/2016,Great Britain,Mining and Quarrying,Sand for Concreting,5213,1/1/2016Great BritainMining and QuarryingSand for Concreting5213
1/1/2016,Great Britain,Mining and Quarrying,Gravel for Concreting & other uses,4893,1/1/2016Great BritainMining and QuarryingGravel for Concreting & other uses4893
1/1/2016,Great Britain,Mining and Quarrying,Sand & Gravel for Coating,349,1/1/2016Great BritainMining and QuarryingSand & Gravel for Coating349
1/1/2016,Great Britain,Mining and Quarrying,"Sand, Gravel & Hoggin for Fill",1167,"1/1/2016Great BritainMining and QuarryingSand, Gravel & Hoggin for Fill1167"
1/1/2016,Great Britain,Mining and Quarrying,Sand & Gravel (Total),13027,1/1/2016Great BritainMining and QuarryingSand & Gravel (Total)13027
1/1/2016,Great Britain,Mining and Quarrying,Sand & Gravel Marine-Dredged,2593,1/1/2016Great BritainMining and QuarryingSand & Gravel Marine-Dredged2593
