Date,Material,Thousand tonnes,Geographical Region,Building Material Type,Unique_Key
01/01/2003,Cement,11215,Great Britain,Cement & Clinker,01/01/2003Cement11215Great BritainCement & Clinker
01/01/2003,Clinker,10146,Great Britain,Cement & Clinker,01/01/2003Clinker10146Great BritainCement & Clinker
01/01/2004,Cement,11405,Great Britain,Cement & Clinker,01/01/2004Cement11405Great BritainCement & Clinker
01/01/2004,Clinker,10402,Great Britain,Cement & Clinker,01/01/2004Clinker10402Great BritainCement & Clinker
01/01/2005,Cement,11216,Great Britain,Cement & Clinker,01/01/2005Cement11216Great BritainCement & Clinker
01/01/2005,Clinker,10074,Great Britain,Cement & Clinker,01/01/2005Clinker10074Great BritainCement & Clinker
01/01/2006,Cement,11469,Great Britain,Cement & Clinker,01/01/2006Cement11469Great BritainCement & Clinker
01/01/2006,Clinker,10069,Great Britain,Cement & Clinker,01/01/2006Clinker10069Great BritainCement & Clinker
01/01/2007,Cement,11887,Great Britain,Cement & Clinker,01/01/2007Cement11887Great BritainCement & Clinker
01/01/2007,Clinker,10227,Great Britain,Cement & Clinker,01/01/2007Clinker10227Great BritainCement & Clinker
01/01/2008,Cement,10071,Great Britain,Cement & Clinker,01/01/2008Cement10071Great BritainCement & Clinker
01/01/2008,Clinker,8700,Great Britain,Cement & Clinker,01/01/2008Clinker8700Great BritainCement & Clinker
01/01/2009,Cement,7622.731,Great Britain,Cement & Clinker,01/01/2009Cement7622.731Great BritainCement & Clinker
01/01/2009,Clinker,6420.567,Great Britain,Cement & Clinker,01/01/2009Clinker6420.567Great BritainCement & Clinker
01/01/2010,Cement,7882.96339,Great Britain,Cement & Clinker,01/01/2010Cement7882.96339Great BritainCement & Clinker
01/01/2010,Clinker,6598.468,Great Britain,Cement & Clinker,01/01/2010Clinker6598.468Great BritainCement & Clinker
01/01/2011,Cement,8529.2296,Great Britain,Cement & Clinker,01/01/2011Cement8529.2296Great BritainCement & Clinker
01/01/2011,Clinker,7096.343,Great Britain,Cement & Clinker,01/01/2011Clinker7096.343Great BritainCement & Clinker
01/01/2012,Cement,7951.52382,Great Britain,Cement & Clinker,01/01/2012Cement7951.52382Great BritainCement & Clinker
01/01/2012,Clinker,6554.75552,Great Britain,Cement & Clinker,01/01/2012Clinker6554.75552Great BritainCement & Clinker
01/01/2013,Cement,8203.226,Great Britain,Cement & Clinker,01/01/2013Cement8203.226Great BritainCement & Clinker
01/01/2013,Clinker,6711.881,Great Britain,Cement & Clinker,01/01/2013Clinker6711.881Great BritainCement & Clinker
01/01/2014,Cement,8958.1,Great Britain,Cement & Clinker,01/01/2014Cement8958.1Great BritainCement & Clinker
01/01/2014,Clinker,7196.8,Great Britain,Cement & Clinker,01/01/2014Clinker7196.8Great BritainCement & Clinker
01/01/2015,Cement,9235.35,Great Britain,Cement & Clinker,01/01/2015Cement9235.35Great BritainCement & Clinker
01/01/2015,Clinker,7804,Great Britain,Cement & Clinker,01/01/2015Clinker7804Great BritainCement & Clinker
01/01/2016,Cement,9369.78,Great Britain,Cement & Clinker,01/01/2016Cement9369.78Great BritainCement & Clinker
01/01/2016,Clinker,8056,Great Britain,Cement & Clinker,01/01/2016Clinker8056Great BritainCement & Clinker
01/01/2017,Cement,9359.06,Great Britain,Cement & Clinker,01/01/2017Cement9359.06Great BritainCement & Clinker
01/01/2017,Clinker,7823.75,Great Britain,Cement & Clinker,01/01/2017Clinker7823.75Great BritainCement & Clinker
01/01/2018,Cement,9197.16,Great Britain,Cement & Clinker,01/01/2018Cement9197.16Great BritainCement & Clinker
01/01/2018,Clinker,7734.26,Great Britain,Cement & Clinker,01/01/2018Clinker7734.26Great BritainCement & Clinker
01/01/2019,Cement,9079.06,Great Britain,Cement & Clinker,01/01/2019Cement9079.06Great BritainCement & Clinker
01/01/2019,Clinker,7829.86,Great Britain,Cement & Clinker,01/01/2019Clinker7829.86Great BritainCement & Clinker
