Date,Production/Deliveries/Stocks,Brick Type,Millions of Bricks,Building Material Type,Geographical Region,Unique_Key
01/08/2019,Seasonally Adjusted Deliveries,All Types,161.7155206,Bricks,Great Britain,2019AugSeasonally Adjusted Deliveries-All Types161.71552060801/08/2019
01/08/2019,Production,All Types,173392000,Bricks,Great Britain,2019AugProduction-All Types1733920000801/08/2019
01/08/2019,Deliveries(from),All Types,162773000,Bricks,Great Britain,2019AugDeliveries(from)-All Types1627730000801/08/2019
01/08/2019,Stocks,All Types,390141000,Bricks,Great Britain,2019AugStocks-All Types3901410000801/08/2019
01/08/2019,Production,Commons,9849000,Bricks,Great Britain,2019AugProduction-Commons98490000801/08/2019
01/08/2019,Deliveries(from),Commons,8806000,Bricks,Great Britain,2019AugDeliveries(from)-Commons88060000801/08/2019
01/08/2019,Stocks,Commons,34051000,Bricks,Great Britain,2019AugStocks-Commons340510000801/08/2019
01/08/2019,Production,Facings,149992000,Bricks,Great Britain,2019AugProduction-Facings1499920000801/08/2019
01/08/2019,Deliveries(from),Facings,142638000,Bricks,Great Britain,2019AugDeliveries(from)-Facings1426380000801/08/2019
01/08/2019,Stocks,Facings,337276000,Bricks,Great Britain,2019AugStocks-Facings3372760000801/08/2019
01/08/2019,Production,Engineerings,13551000,Bricks,Great Britain,2019AugProduction-Engineerings135510000801/08/2019
01/08/2019,Deliveries(from),Engineerings,11329000,Bricks,Great Britain,2019AugDeliveries(from)-Engineerings113290000801/08/2019
01/08/2019,Stocks,Engineerings,18814000,Bricks,Great Britain,2019AugStocks-Engineerings188140000801/08/2019
01/09/2019,Seasonally Adjusted Deliveries,All Types,173.4060322,Bricks,Great Britain,2019SepSeasonally Adjusted Deliveries-All Types173.40603220901/09/2019
01/09/2019,Production,All Types,179524000,Bricks,Great Britain,2019SepProduction-All Types1795240000901/09/2019
01/09/2019,Deliveries(from),All Types,177935000,Bricks,Great Britain,2019SepDeliveries(from)-All Types1779350000901/09/2019
01/09/2019,Stocks,All Types,391730000,Bricks,Great Britain,2019SepStocks-All Types3917300000901/09/2019
01/09/2019,Production,Commons,9977000,Bricks,Great Britain,2019SepProduction-Commons99770000901/09/2019
01/09/2019,Deliveries(from),Commons,9580000,Bricks,Great Britain,2019SepDeliveries(from)-Commons95800000901/09/2019
01/09/2019,Stocks,Commons,34448000,Bricks,Great Britain,2019SepStocks-Commons344480000901/09/2019
01/09/2019,Production,Facings,158820000,Bricks,Great Britain,2019SepProduction-Facings1588200000901/09/2019
01/09/2019,Deliveries(from),Facings,155205000,Bricks,Great Britain,2019SepDeliveries(from)-Facings1552050000901/09/2019
01/09/2019,Stocks,Facings,340891000,Bricks,Great Britain,2019SepStocks-Facings3408910000901/09/2019
01/09/2019,Production,Engineerings,10727000,Bricks,Great Britain,2019SepProduction-Engineerings107270000901/09/2019
01/09/2019,Deliveries(from),Engineerings,13150000,Bricks,Great Britain,2019SepDeliveries(from)-Engineerings131500000901/09/2019
01/09/2019,Stocks,Engineerings,16391000,Bricks,Great Britain,2019SepStocks-Engineerings163910000901/09/2019
01/10/2019,Seasonally Adjusted Deliveries,All Types,158.4794959,Bricks,Great Britain,2019OctSeasonally Adjusted Deliveries-All Types158.47949591001/10/2019
