Column1,Column2,Column3,Column6,Column8,Column10,Column12,Column14,Column16,Column19,Column21,Column23,Column25,Column27,Column29
2019,August,5542.98285207277,5689.434,5845.116,7182.661,2017.334,2064.36,2694.007,1757.99,1781.206,2262.544,1914.11,1999.55,2226.11
,September,5806.94585284332,6326.721,6217.603,7198.638,2113.577,2133.865,2672.901,1857.604,1783.618,2244.207,2355.54,2300.12,2281.53
,October,5567.43159351599,6837.21,6303.615,7738.531,2298.654,2148.076,2830.219,1869.216,1804.339,2308.642,2669.34,2351.2,2599.67
,November,5587.18845857632,5914.409,5661.493,7876.037,1824.962,1815.883,2732.365,1429.517,1639.6,2090.082,2659.93,2206.01,3053.59
,December,5603.9413294848,4936.959,3680.714,9144.337,1338.572,1144.847,2944.675,1142.657,974.287,2251.922,2455.73,1561.58,3947.74
2020,January,6456.10458296184,5762.851,5476.33,9430.86,1787.347,1756.124,2975.9,1424.614,1532.946,2143.59,2550.89,2187.26,4311.37
,February,6272.56793327148,5843.742,5664.523,9610.079,1779.096,1782.103,2972.893,1665.816,1539.68,2269.726,2398.83,2342.74,4367.46
,March,5153.85634282001,5160.266,5379.477,9366.976,1534.65,1653.769,2852.903,1361.276,1429.728,2178.253,2264.34,2295.98,4335.82
,April,1506.61745132819,731.961,1634.115,8455.556,554.114,840.104,2550.645,c,c,2041.851,c,c,3863.06
,May,3172.02278854071,2355.362,3385.351,7580.022,1196.312,1481.204,2174.384,c,c,1604.778,c,c,3800.86
,June,4681.23076988657,5659.234,5256.536,7982.72,2441.915,2054.072,2562.227,2296.329,1528.124,2372.983,920.99,1674.34,3047.51
,July,5577.04108394918,5389.427,6617.622,5470.951,2348.666,2333.782,2118.784,1653.821,1838.37,1363.187,1386.94,2445.47,1988.98
,August,5725.67273648755,5857.798,5804.014,5570.253,2042.986,1963.767,2243.521,1582.832,1545.807,1400.212,2231.98,2294.44,1926.52
,September,5863.02227045374,6453.485,6567.152,5228.731,2141.843,2162.767,2147.679,1778.172,1746.295,1421.092,2533.47,2658.09,1659.96
,October,5806.68197189973,6438.248,6328.508,5338.471,2141.589,2054.225,2235.043,1753.269,1673.213,1501.148,2543.39,2601.07,1602.28
,November,5910.79156486138,6260.19,5929.781,5662.108,1930.335,1926.122,2238.851,1731.055,1635.179,1590.657,2598.8,2368.48,1832.6
,December,5999.94884340748,4343.565,4009.079,5961.865,1480.239,1248,2472.724,1181.256,1085.419,1650.131,1682.07,1675.66,1839.01
2021,January,5972.78526441926,5267.645,4683.871,6542.223,1626.901,1458.004,2639.203,1173.034,1267.397,1554.77,2467.71,1958.47,2348.25
,February,5219.88451985028,5269.681,4628.874,7183.03,1711.524,1600.009,2750.718,1395.997,1164.715,1786.052,2162.16,1864.15,2646.26
,March,6852.80869824241,6742.859,7029.91,6911.965,2292.594,2488.373,2564.944,1746.605,1786.597,1752.041,2703.66,2754.94,2594.98
,April,6216.19940385467,6021.62,6887.927,6146.953,2154.773,2418.72,2324.82,1549.377,1835.457,1543.433,2317.47,2633.75,2278.7
,May,6217.54455358132,6373.341,6474.832,6060.882,2161.038,2233.255,2268.257,1750.513,1796.097,1497.615,2461.79,2445.48,2295.01
,June,6512.39052555033,6786.569,7250.311,5569.284,2411.031,2558.207,2116.582,1893.738,1884.154,1521.412,2481.8,2807.95,1931.29
,July,6209.4951978164,6599.962,6998.88,5216.286,2546.611,2557.114,2037.16,1867.521,1896.556,1471.486,2185.83,2545.21,1707.64
,August (p),6095.76801743991,6336.072,6319.491,5232.867,2366.689,2210.341,2193.508,1799.313,1739.3,1531.499,2170.07,2369.85,1507.86
