Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,2015,2016,2017,2018,2019,2020
" Raw Materials",Sand for construction,Imports,13281,15437,13603,15559,15346,13087
" Raw Materials",Sand for construction,Exports,8629,11342,7767,9248,13748,7305
" Raw Materials",Crushed Rock : uncoated,Imports,25110,34361,35912,30735,32078,28005
" Raw Materials",Crushed Rock : uncoated,Exports,47093,50281,57082,61076,64402,60288
" Raw Materials",Crushed Rock : coated,Imports,9,2,12,105,89,1005
" Raw Materials",Crushed Rock : coated,Exports,2977,4451,4919,6150,4539,7123
" Raw Materials",Building Stone : unprocessed,Imports,149903,151816,176711,180697,184172,198744
" Raw Materials",Building Stone : unprocessed,Exports,1690,1976,3128,4094,4409,1918
" Raw Materials",Slate : unprocessed,Imports,10699,13574,19851,15487,23247,24214
" Raw Materials",Slate : unprocessed,Exports,1921,1286,1367,2490,2205,521
" Raw Materials",Gypsum & Anhydrite,Imports,9810,20822,21173,20958,30185,26193
" Raw Materials",Gypsum & Anhydrite,Exports,1649,1467,2110,2672,2235,2359
" Raw Materials",Bituminous Shale,Imports,4937,4345,6310,4620,5427,1534
" Raw Materials",Bituminous Shale,Exports,2412,1892,2176,2630,3633,2350
" Semi-Manufactures",Clinker,Imports,49491,49305,51769,65055,39541,20880
" Semi-Manufactures",Clinker,Exports,1368,3303,1646,1016,774,966
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,783597,838098,859243,883365,798895,832663
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,18626,20373,26705,32062,27762,30980
" Semi-Manufactures",Densified Wood,Imports,1748,1507,1400,1662,1742,2905
" Semi-Manufactures",Densified Wood,Exports,498,588,807,680,821,731
" Semi-Manufactures",Particle Board,Imports,44053,52261,60441,65575,56980,39228
" Semi-Manufactures",Particle Board,Exports,5084,6476,9815,7151,8663,8029
" Semi-Manufactures",Laminated Wood,Imports,148777,283492,359909,360362,356181,302791
" Semi-Manufactures",Laminated Wood,Exports,10474,17098,21840,24447,27670,24709
" Semi-Manufactures",Fibreboard,Imports,65275,74385,90128,103904,127511,100821
" Semi-Manufactures",Fibreboard,Exports,6261,6954,8230,8883,8380,8727
" Semi-Manufactures",Steel for Fabrication,Imports,313745,312919,378863,434401,413562,238691
" Semi-Manufactures",Steel for Fabrication,Exports,174995,187788,191432,214804,179575,198936
" Semi-Manufactures",Aluminium for Fabrication,Imports,494514,498713,581060,578279,489297,336260
" Semi-Manufactures",Aluminium for Fabrication,Exports,155775,167325,190146,208494,182048,133360
" Semi-Manufactures",Profiles of  Vinyl Chloride,Imports,29998,36600,35921,38240,37069,45021
" Semi-Manufactures",Profiles of  Vinyl Chloride,Exports,22642,21331,24666,27777,27552,30613
" Semi-Manufactures",Slag for Construction,Imports,8330,20782,37847,33776,39019,15023
" Semi-Manufactures",Slag for Construction,Exports,2179,1202,1463,950,1222,1262
" Semi-Manufactures",Tar & Bituminous Mixtures,Imports,18665,22105,19661,34211,30075,18428
" Semi-Manufactures",Tar & Bituminous Mixtures,Exports,17210,22778,20914,25029,24690,18472
" Semi-Manufactures",Lime,Imports,2026,1402,1992,1931,2141,1831
" Semi-Manufactures",Lime,Exports,23847,24451,27403,22906,24514,19710
" Semi-Manufactures",Lime,,2015,2016,2017,2018,2019,2020
" Products & Components",Wood sleepers (rail & tram),Imports,9920,11493,24023,27715,23639,34095
" Products & Components",Wood sleepers (rail & tram),Exports,86,406,437,564,332,1232
" Products & Components",Building Stone : processed,Imports,189561,202159,227589,214407,238954,189267
" Products & Components",Building Stone : processed,Exports,22639,8911,10738,10152,14148,12136
" Products & Components",Slate Roofing Tiles*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Slate Roofing Tiles*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Slate Products*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Slate Products*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Slate Products*,Imports,72171,82174,90155,98277,102115,100085
" Products & Components",Slate Products*,Exports,8189,8507,7531,7272,6472,5802
" Products & Components",Portland Cement,Imports,86241,101182,103551,103451,113464,112042
" Products & Components",Portland Cement,Exports,6321,7226,10963,13776,13390,9616
" Products & Components",Other Cements,Imports,60734,61573,62630,71723,87441,78881
" Products & Components",Other Cements,Exports,32071,33352,38927,42432,36701,31958
" Products & Components",Steel Sheet Piling,Imports,77089,67072,68240,69611,69863,77109
" Products & Components",Steel Sheet Piling,Exports,31643,33725,31848,40553,32828,31446
" Products & Components",Ready-Mixed Concrete,Imports,160,5,23,28,38,62
" Products & Components",Ready-Mixed Concrete,Exports,1752,2281,1750,2334,2694,2677
" Products & Components",Concrete Reinforcing Bars,Imports,197838,157560,201187,268593,237789,177122
" Products & Components",Concrete Reinforcing Bars,Exports,35785,24476,22390,32244,46668,47990
" Products & Components",Mortars,Imports,10127,11812,9477,12901,11862,24649
" Products & Components",Mortars,Exports,5725,8483,9301,10356,11454,9751
" Products & Components",Clay Bricks,Imports,64468,66966,85248,116032,137431,106521
" Products & Components",Clay Bricks,Exports,4537,7435,9037,9158,7421,8488
" Products & Components",Clay Roofing Tiles,Imports,18852,25998,35085,35139,30592,35191
" Products & Components",Clay Roofing Tiles,Exports,274,300,401,419,453,788
" Products & Components",Clay Pipes,Imports,1044,1548,1579,1567,1886,743
" Products & Components",Clay Pipes,Exports,3550,4485,3743,4356,5064,2467
" Products & Components",Other Clay Products,Imports,7740,15961,15209,13453,7621,8814
" Products & Components",Other Clay Products,Exports,2419,2897,2605,2236,2660,2183
" Products & Components",Concrete Blocks & Bricks,Imports,12200,30327,31847,32542,29954,35571
" Products & Components",Concrete Blocks & Bricks,Exports,5335,7474,7184,10273,9793,8849
" Products & Components",Concrete Roofing Tiles*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Concrete Roofing Tiles*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Concrete Tiles & Paving*,Imports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Other Concrete Tiles & Paving*,Exports,"              :","              :","              :","              :","              :","              :"
" Products & Components",Concrete Tiles and Pavings*,Imports,23726,29353,36770,47933,46713,32153
" Products & Components",Concrete Tiles and Pavings*,Exports,9427,15311,36770,18185,19414,19606
" Products & Components",Prefabricated Concrete Products,Imports,73013,138716,116266,106837,86939,60925
