Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Raw Materials",Sand for construction,Imports,2015,13281,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Imports,2016,15437,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Imports,2017,13603,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Imports,2018,15559,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Imports,2019,15346,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Imports,2020,13087,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Exports,2015,8629,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Exports,2016,11342,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Exports,2017,7767,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Exports,2018,9248,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Exports,2019,13748,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Sand for construction,Exports,2020,7305,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Imports,2015,25110,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Imports,2016,34361,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Imports,2017,35912,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Imports,2018,30735,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Imports,2019,32078,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Imports,2020,28005,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Exports,2015,47093,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Exports,2016,50281,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Exports,2017,57082,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Exports,2018,61076,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Exports,2019,64402,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : uncoated,Exports,2020,60288,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Imports,2015,9,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Imports,2016,2,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Imports,2017,12,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Imports,2018,105,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Imports,2019,89,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Imports,2020,1005,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Exports,2015,2977,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Exports,2016,4451,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Exports,2017,4919,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Exports,2018,6150,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Exports,2019,4539,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Crushed Rock : coated,Exports,2020,7123,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Imports,2015,149903,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Imports,2016,151816,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Imports,2017,176711,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Imports,2018,180697,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Imports,2019,184172,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Imports,2020,198744,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Exports,2015,1690,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Exports,2016,1976,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Exports,2017,3128,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Exports,2018,4094,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Exports,2019,4409,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Building Stone : unprocessed,Exports,2020,1918,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Imports,2015,10699,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Imports,2016,13574,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Imports,2017,19851,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Imports,2018,15487,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Imports,2019,23247,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Imports,2020,24214,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Exports,2015,1921,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Exports,2016,1286,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Exports,2017,1367,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Exports,2018,2490,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Exports,2019,2205,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Slate : unprocessed,Exports,2020,521,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Imports,2015,9810,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Imports,2016,20822,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Imports,2017,21173,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Imports,2018,20958,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Imports,2019,30185,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Imports,2020,26193,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Exports,2015,1649,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Exports,2016,1467,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Exports,2017,2110,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Exports,2018,2672,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Exports,2019,2235,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Gypsum & Anhydrite,Exports,2020,2359,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Imports,2015,4937,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Imports,2016,4345,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Imports,2017,6310,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Imports,2018,4620,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Imports,2019,5427,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Imports,2020,1534,01/01/2020,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Exports,2015,2412,01/01/2015,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Exports,2016,1892,01/01/2016,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Exports,2017,2176,01/01/2017,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Exports,2018,2630,01/01/2018,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Exports,2019,3633,01/01/2019,United Kingdom,External Trade,
" Raw Materials",Bituminous Shale,Exports,2020,2350,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Imports,2015,49491,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Imports,2016,49305,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Imports,2017,51769,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Imports,2018,65055,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Imports,2019,39541,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Imports,2020,20880,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Exports,2015,1368,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Exports,2016,3303,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Exports,2017,1646,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Exports,2018,1016,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Exports,2019,774,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Clinker,Exports,2020,966,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2015,783597,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2016,838098,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2017,859243,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2018,883365,01/01/2018,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2019,798895,01/01/2019,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Imports,2020,832663,01/01/2020,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2015,18626,01/01/2015,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2016,20373,01/01/2016,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2017,26705,01/01/2017,United Kingdom,External Trade,
" Semi-Manufactures",Sawn Wood > 6mm thick,Exports,2018,32062,01/01/2018,United Kingdom,External Trade,
